No. of Nodes before deletion(N), No. of Nodes after deletion(Z), Simple Deletion Depth(P), Random Deletion Depth(Q), Optimized Deletion Depth(R), Theoretical Depth(H), P/H*100, Q/H*100, R/H*100, log N(L)
8,4,3.5,3.7,3.5,2,175,185,175,2
16,8,5,5,4.7,2.828427125,176.7766953,176.7766953,166.1700936,3
32,16,6.6,6.6,6.4,4,165,165,160,4
64,32,9.1,9.1,8.8,5.656854249,160.8667927,160.8667927,155.5634919,5
128,64,11.3,11.2,10.7,8,141.25,140,133.75,6
256,128,13.1,13.2,12.6,11.3137085,115.7887354,116.6726189,111.369318,7
512,256,17.1,17.1,16.6,16,106.875,106.875,103.75,8
1024,512,19.5,19.6,19.2,22.627417,86.17863896,86.6205807,84.85281374,9
2048,1024,22.6,22.6,22,32,70.625,70.625,68.75,10
4096,2048,26.6,26.2,25.5,45.254834,58.77825119,57.89436771,56.34757163,11
8192,4096,27.7,27.8,27.1,64,43.28125,43.4375,42.34375,12
16384,8192,30.4,30.3,30.2,90.50966799,33.58757211,33.47708667,33.36660124,13
